,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
0,487.2291667,17488.16077,18140.656
1,487.25,17426.701390000002,18097.36
2,487.27083330000005,17360.8658,18054.781
3,487.2916667,17299.81914,18006.932
4,487.3125,17238.66224,17961.129
5,487.33333330000005,17174.06128,17914.162
6,487.3541667,17112.439,17864.27
7,487.375,17049.7626,17817.225
8,487.39583330000005,16988.089340000002,17763.754
9,487.4166667,16927.19653,17698.768
10,487.4375,16867.755080000006,17624.361
11,487.45833330000005,16810.85202,17547.541
12,487.4791667,16750.9127,17475.293
13,487.5,16691.05645,17406.068
14,487.52083330000005,16634.14573,17341.908
15,487.5416667,16576.75565,17282.762
16,487.5625,16520.86306,17222.88
17,487.58333330000005,16464.83608,17162.893
18,487.6041667,16409.889069999994,17100.6
19,487.625,16353.7731,17037.217
20,487.64583330000005,16301.604480000004,16970.713
21,487.6666667,16246.74017,16906.973
22,487.6875,16194.193339999998,16839.754
23,487.70833330000005,16143.70955,16775.486
24,487.7291667,16092.240799999998,16714.29
25,487.75,16041.303499999998,16652.523
26,487.77083330000005,15992.342050000001,16590.498
27,487.7916667,15945.01712,16528.428
28,487.8125,15897.288369999998,16466.37
29,487.83333330000005,15851.16391,16403.295
30,487.8541667,15806.38569,16342.649
31,487.875,15761.620330000002,16284.98
32,487.89583330000005,15718.18556,16228.763
33,487.9166667,15675.58003,16174.766
34,487.9375,15634.541319999998,16121.817
35,487.95833330000005,15593.82645,16071.1045
36,487.9791667,15555.00955,16021.649
37,488.0,15515.66479,15975.578
38,488.02083330000005,15477.8431,15929.717
39,488.0416667,15440.737619999998,15886.195
40,488.0625,15404.70171,15843.685
41,488.08333330000005,15369.33265,15802.335
42,488.1041667,15335.2663,15761.298
43,488.125,15301.83699,15720.987
44,488.14583330000005,15269.06763,15680.88
45,488.1666667,15236.87729,15641.765
46,488.1875,15205.23556,15603.598
47,488.20833330000005,15174.07363,15565.8955
48,488.2291667,15144.13922,15528.319
49,488.25,15114.492,15491.836
50,488.27083330000005,15084.46609,15455.258
51,488.2916667,15055.39256,15417.712
52,488.3125,15027.05821,15381.256
53,488.33333330000005,14998.57599,15346.087
54,488.3541667,14970.93134,15312.664
55,488.375,14943.618369999998,15282.366
56,488.39583330000005,14916.68135,15249.7295
57,488.4166667,14890.56226,15211.97
58,488.4375,14864.74523,15171.664
59,488.45833330000005,14839.43514,15130.939
60,488.4791667,14814.78819,15091.945
61,488.5,14790.399619999998,15055.679
62,488.52083330000005,14766.63121,15021.08
63,488.5416667,14743.429369999998,14987.654
64,488.5625,14720.57625,14954.971
65,488.58333330000005,14698.04751,14922.837
66,488.6041667,14675.90573,14891.566
67,488.625,14654.0252,14861.52
68,488.64583330000005,14632.58464,14832.509
69,488.6666667,14611.542980000002,14804.595
70,488.6875,14590.73173,14777.79
71,488.70833330000005,14570.45798,14751.997
72,488.7291667,14550.649480000002,14727.449
73,488.75,14531.28085,14703.569
74,488.77083330000005,14512.61653,14679.381
75,488.7916667,14494.37816,14654.776
76,488.8125,14476.66117,14629.183
77,488.83333330000005,14459.745,14602.558
78,488.8541667,14442.6374,14577.139
79,488.875,14426.04034,14554.15
80,488.89583330000005,14409.73325,14533.399
81,488.9166667,14394.37877,14512.642
82,488.9375,14378.99101,14493.32
83,488.95833330000005,14363.89466,14475.932
84,488.9791667,14349.27614,14460.439
85,489.0,14335.43452,14445.764
86,489.02083330000005,14321.15464,14430.989
87,489.0416667,14308.54567,14413.93
88,489.0625,14295.14513,14398.066
89,489.08333330000005,14282.16412,14382.008
90,489.1041667,14269.1403,14367.23
91,489.125,14256.52654,14352.673
92,489.14583330000005,14243.93061,14338.288
93,489.1666667,14231.17903,14323.273
94,489.1875,14218.618019999998,14307.961
95,489.20833330000005,14205.95088,14293.432
96,489.2291667,14193.05054,14279.274
97,489.25,14180.04822,14264.987
98,489.27083330000005,14166.84534,14250.53
99,489.2916667,14153.328480000002,14235.737
100,489.3125,14139.94296,14220.212
101,489.33333330000005,14125.98784,14204.175
102,489.3541667,14111.78703,14188.176
103,489.375,14097.26552,14173.017
104,489.39583330000005,14083.07173,14156.007
105,489.4166667,14068.47003,14136.894
106,489.4375,14054.04925,14117.6
107,489.45833330000005,14039.5244,14101.533
108,489.4791667,14024.91102,14087.303
109,489.5,14010.28768,14072.642
110,489.52083330000005,13995.599069999998,14057.073
111,489.5416667,13980.83631,14040.97
112,489.5625,13966.03862,14024.509
113,489.58333330000005,13951.21957,14007.626
114,489.6041667,13936.28911,13990.75
