,Time (d),PO4_meas_Pearson (gP/m3),PO4_pred_Pearson (gP/m3)
0,487.2291667,0.025526608,-0.04219215
1,487.25,0.026087857999999995,-0.040320072
2,487.27083330000005,0.026754134,-0.038614582
3,487.2916667,0.027532745,-0.03706082
4,487.3125,0.028425081,-0.035910856
5,487.33333330000005,0.029434814,-0.035662368
6,487.3541667,0.030546183,-0.038021423
7,487.375,0.031743597,-0.044300154
8,487.39583330000005,0.03302118,-0.057655655
9,487.4166667,0.03436753,-0.07498775
10,487.4375,0.035765385,-0.08550035
11,487.45833330000005,0.037205302,-0.09597355
12,487.4791667,0.038700892,-0.100991
13,487.5,0.040290973,-0.099487126
14,487.52083330000005,0.04205498,-0.09335367
15,487.5416667,0.044150604,-0.08499387
16,487.5625,0.046864328,-0.07747951
17,487.58333330000005,0.050638502,-0.0706224
18,487.6041667,0.056043412,-0.064546734
19,487.625,0.063690753,-0.05864204
20,487.64583330000005,0.07411869900000001,-0.05121454
21,487.6666667,0.08767372699999998,-0.042104147
22,487.6875,0.104424171,-0.031020317
23,487.70833330000005,0.124195134,-0.016774526
24,487.7291667,0.146646497,0.0001315684
25,487.75,0.171413388,0.0176635
26,487.77083330000005,0.19821588,0.036010146
27,487.7916667,0.22673814499999997,0.057236392
28,487.8125,0.256548639,0.0796934
29,487.83333330000005,0.287029358,0.10593666
30,487.8541667,0.31735102800000003,0.13361552
31,487.875,0.347053315,0.16113564
32,487.89583330000005,0.376124261,0.18973568
33,487.9166667,0.404300872,0.22177409
34,487.9375,0.430968697,0.25403732
35,487.95833330000005,0.455650196,0.2844173
36,487.9791667,0.478150761,0.3120447
37,488.0,0.49854653,0.3370551
38,488.02083330000005,0.517082087,0.35992706
39,488.0416667,0.534111559,0.38109773
40,488.0625,0.550067199,0.401017
41,488.08333330000005,0.565436608,0.41996944
42,488.1041667,0.580779229,0.43813035
43,488.125,0.596586004,0.4555435
44,488.14583330000005,0.613189316,0.4720932
45,488.1666667,0.630852881,0.48842588
46,488.1875,0.649756123,0.5054153
47,488.20833330000005,0.669927304,0.5234809
48,488.2291667,0.691245094,0.5426784
49,488.25,0.713511942,0.5628577
50,488.27083330000005,0.736545736,0.5837946
51,488.2916667,0.7602579989999999,0.6053031
52,488.3125,0.784659399,0.6273775
53,488.33333330000005,0.809861556,0.65020543
54,488.3541667,0.8360699079999999,0.6743172
55,488.375,0.863422582,0.69973034
56,488.39583330000005,0.8920356640000001,0.7253769
57,488.4166667,0.9216916560000001,0.75014496
58,488.4375,0.9517824500000001,0.77597135
59,488.45833330000005,0.981490635,0.80455536
60,488.4791667,1.00977351,0.83539075
61,488.5,1.035434701,0.8665248
