,Time (d),Biogas_meas_Pearson (m3/d),Biogas_pred_Pearson (m3/d)
0,487.25,17426.701390000002,17336.547
1,487.2916667,17299.81914,17214.482
2,487.33333330000005,17174.06128,17091.898
3,487.375,17049.7626,16970.375
4,487.4166667,16927.19653,16849.795
5,487.45833330000005,16810.85202,16731.305
6,487.5,16691.05645,16618.076
7,487.5416667,16576.75565,16501.826
8,487.58333330000005,16464.83608,16390.406
9,487.625,16353.7731,16281.648
10,487.6666667,16246.74017,16174.153
11,487.70833330000005,16143.709550000001,16070.9795
12,487.75,16041.3035,15971.549
13,487.7916667,15945.017119999999,15872.965
14,487.83333330000005,15851.16391,15781.158
15,487.875,15761.620330000002,15691.571
16,487.9166667,15675.58003,15605.548
17,487.95833330000005,15593.82645,15523.9375
18,488.0,15515.66479,15445.624
19,488.0416667,15440.737619999998,15370.522
20,488.08333330000005,15369.33265,15298.847
21,488.125,15301.83699,15231.3
22,488.1666667,15236.87729,15167.82
23,488.20833330000005,15174.07363,15105.97
24,488.25,15114.492,15046.092
25,488.2916667,15055.39256,14989.262
26,488.33333330000005,14998.57599,14932.868
27,488.375,14943.618369999998,14878.673
28,488.4166667,14890.56226,14826.407
29,488.45833330000005,14839.43514,14775.845
30,488.5,14790.399619999998,14726.405
31,488.5416667,14743.429369999998,14678.987
32,488.58333330000005,14698.04751,14634.344
33,488.625,14654.0252,14591.826
34,488.6666667,14611.542980000002,14550.819
35,488.70833330000005,14570.45798,14511.375
36,488.75,14531.28085,14473.384
37,488.7916667,14494.37816,14437.328
38,488.83333330000005,14459.745,14403.309
39,488.875,14426.04034,14370.968
40,488.9166667,14394.37877,14338.843
41,488.95833330000005,14363.89466,14309.395
42,489.0,14335.43452,14281.275
43,489.0416667,14308.54567,14255.653
44,489.08333330000005,14282.16412,14231.527
45,489.125,14256.52654,14206.788
46,489.1666667,14231.17903,14182.038
47,489.20833330000005,14205.95088,14157.162
48,489.25,14180.04822,14131.88
49,489.2916667,14153.328480000002,14105.688
50,489.33333330000005,14125.98784,14078.718
51,489.375,14097.26552,14051.246
52,489.4166667,14068.47003,14022.598
53,489.45833330000005,14039.5244,13994.499
