,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
0,487.2291667,17488.16077,17431.877
1,487.25,17426.701390000002,17370.469
2,487.27083330000005,17360.8658,17312.508
3,487.2916667,17299.81914,17250.145
4,487.3125,17238.66224,17191.154
5,487.33333330000005,17174.06128,17129.24
6,487.3541667,17112.439,17056.977
7,487.375,17049.7626,16978.65
8,487.39583330000005,16988.089340000002,16898.068
9,487.4166667,16927.19653,16824.152
10,487.4375,16867.755080000006,16757.32
11,487.45833330000005,16810.85202,16696.273
12,487.4791667,16750.9127,16640.19
13,487.5,16691.05645,16582.475
14,487.52083330000005,16634.14573,16524.996
15,487.5416667,16576.75565,16469.82
16,487.5625,16520.86306,16413.68
17,487.58333330000005,16464.83608,16358.841
18,487.6041667,16409.889069999994,16304.047
19,487.625,16353.7731,16250.607
20,487.64583330000005,16301.604480000004,16196.389
21,487.6666667,16246.74017,16146.33
22,487.6875,16194.193339999998,16093.607
23,487.70833330000005,16143.70955,16042.503
24,487.7291667,16092.240799999998,15992.347
25,487.75,16041.303499999998,15940.17
26,487.77083330000005,15992.342050000001,15888.439
27,487.7916667,15945.01712,15839.515
28,487.8125,15897.288369999998,15793.185
29,487.83333330000005,15851.16391,15747.247
30,487.8541667,15806.38569,15703.244
31,487.875,15761.620330000002,15660.522
32,487.89583330000005,15718.18556,15617.944
33,487.9166667,15675.58003,15577.262
34,487.9375,15634.541319999998,15538.04
35,487.95833330000005,15593.82645,15500.629
36,487.9791667,15555.00955,15463.477
37,488.0,15515.66479,15427.935
38,488.02083330000005,15477.8431,15391.834
39,488.0416667,15440.737619999998,15357.366
40,488.0625,15404.70171,15324.015
41,488.08333330000005,15369.33265,15292.276
42,488.1041667,15335.2663,15261.892
43,488.125,15301.83699,15233.502
44,488.14583330000005,15269.06763,15205.909
45,488.1666667,15236.87729,15178.469
46,488.1875,15205.23556,15151.08
47,488.20833330000005,15174.07363,15124.034
48,488.2291667,15144.13922,15097.476
49,488.25,15114.492,15072.106
50,488.27083330000005,15084.46609,15047.003
51,488.2916667,15055.39256,15021.467
52,488.3125,15027.05821,14996.208
53,488.33333330000005,14998.57599,14970.26
54,488.3541667,14970.93134,14940.6455
55,488.375,14943.618369999998,14907.098
56,488.39583330000005,14916.68135,14873.02
57,488.4166667,14890.56226,14842.173
58,488.4375,14864.74523,14815.684
59,488.45833330000005,14839.43514,14792.277
60,488.4791667,14814.78819,14770.621
61,488.5,14790.399619999998,14749.688
62,488.52083330000005,14766.63121,14728.862
63,488.5416667,14743.429369999998,14708.729
64,488.5625,14720.57625,14689.427
65,488.58333330000005,14698.04751,14670.754
66,488.6041667,14675.90573,14652.399
67,488.625,14654.0252,14634.144
68,488.64583330000005,14632.58464,14615.839
69,488.6666667,14611.542980000002,14597.703
70,488.6875,14590.73173,14579.359
71,488.70833330000005,14570.45798,14560.237
72,488.7291667,14550.649480000002,14540.234
73,488.75,14531.28085,14519.235
74,488.77083330000005,14512.61653,14498.82
75,488.7916667,14494.37816,14480.849
76,488.8125,14476.66117,14465.171
77,488.83333330000005,14459.745,14451.185
78,488.8541667,14442.6374,14437.823
79,488.875,14426.04034,14423.329
80,488.89583330000005,14409.73325,14409.007
81,488.9166667,14394.37877,14395.583
82,488.9375,14378.99101,14383.4
83,488.95833330000005,14363.89466,14370.968
84,488.9791667,14349.27614,14358.463
85,489.0,14335.43452,14346.255
86,489.02083330000005,14321.15464,14335.246
87,489.0416667,14308.54567,14324.843
88,489.0625,14295.14513,14316.571
89,489.08333330000005,14282.16412,14307.734
90,489.1041667,14269.1403,14299.17
91,489.125,14256.52654,14290.424
92,489.14583330000005,14243.93061,14282.098
93,489.1666667,14231.17903,14273.987
94,489.1875,14218.618019999998,14265.664
95,489.20833330000005,14205.95088,14257.124
96,489.2291667,14193.05054,14248.064
97,489.25,14180.04822,14238.464
98,489.27083330000005,14166.84534,14228.628
99,489.2916667,14153.328480000002,14218.593
100,489.3125,14139.94296,14207.719
101,489.33333330000005,14125.98784,14195.357
102,489.3541667,14111.78703,14176.588
103,489.375,14097.26552,14148.576
104,489.39583330000005,14083.07173,14116.966
105,489.4166667,14068.47003,14089.167
106,489.4375,14054.04925,14066.903
107,489.45833330000005,14039.5244,14050.113
108,489.4791667,14024.91102,14036.131
109,489.5,14010.28768,14022.759
110,489.52083330000005,13995.599069999998,14009.081
111,489.5416667,13980.83631,13995.03
112,489.5625,13966.03862,13980.895
113,489.58333330000005,13951.21957,13966.899
114,489.6041667,13936.28911,13953.2295
115,489.625,13921.31353,13940.055
116,489.64583330000005,13906.296230000002,13927.234
117,489.6666667,13891.22036,13914.255
118,489.6875,13876.03676,13900.257
119,489.70833330000005,13860.92695,13884.454
120,489.7291667,13845.648480000002,13865.858
121,489.75,13830.43423,13843.368
122,489.77083330000005,13815.500569999998,13819.696
123,489.7916667,13800.6903,13798.67
124,489.8125,13785.89549,13781.592
125,489.83333330000005,13771.07879,13768.158
126,489.8541667,13756.20797,13756.05
127,489.875,13741.31238,13742.681
128,489.89583330000005,13726.42623,13727.52
129,489.9166667,13711.65259,13711.364
130,489.9375,13696.92346,13695.409
131,489.95833330000005,13682.0395,13680.4375
132,489.9791667,13667.07807,13666.379
133,490.0,13652.022619999998,13653.036
134,490.02083330000005,13636.84672,13640.13
135,490.0416667,13621.71748,13627.467
136,490.0625,13606.29081,13615.432
137,490.08333330000005,13590.90224,13604.177
138,490.1041667,13575.438069999998,13593.894
139,490.125,13559.7445,13584.071
140,490.14583330000005,13543.60515,13573.995
141,490.1666667,13526.967669999998,13562.964
142,490.1875,13510.82457,13550.801
143,490.20833330000005,13493.93094,13538.484
144,490.2291667,13476.76228,13525.453
145,490.25,13458.75364,13512.661
146,490.27083330000005,13441.009069999998,13499.547
147,490.2916667,13423.13214,13486.409
148,490.3125,13405.13079,13471.743
149,490.33333330000005,13386.88266,13454.075
150,490.3541667,13368.47168,13429.521
151,490.375,13349.98796,13394.456
152,490.39583330000005,13331.30177,13353.15
153,490.4166667,13312.47005,13313.253
154,490.4375,13294.03545,13280.386
155,490.45833330000005,13275.55189,13257.099
156,490.4791667,13257.32845,13240.563
157,490.5,13239.10177,13226.968
158,490.52083330000005,13221.18312,13213.414
159,490.5416667,13203.4114,13199.356
160,490.5625,13185.79838,13184.84
161,490.58333330000005,13168.29149,13170.288
162,490.6041667,13151.00822,13156.403
163,490.625,13133.9665,13144.002
164,490.64583330000005,13117.11628,13132.335
165,490.6666667,13100.48268,13119.862
166,490.6875,13083.93924,13106.443
167,490.70833330000005,13067.66164,13092.779
168,490.7291667,13051.77381,13077.413
169,490.75,13036.0042,13057.504
170,490.77083330000005,13020.60437,13034.664
171,490.7916667,13005.78049,13014.41
172,490.8125,12991.77968,12999.394
173,490.83333330000005,12978.3898,12988.734
174,490.8541667,12965.33891,12979.917
175,490.875,12952.49556,12971.003
176,490.89583330000005,12940.19432,12961.403
177,490.9166667,12927.62635,12951.628
178,490.9375,12916.19289,12941.238
179,490.95833330000005,12905.31307,12931.427
180,490.9791667,12895.41384,12922.691
181,491.0,12885.12792,12916.791
182,491.02083330000005,12875.84549,12913.067
183,491.0416667,12866.90652,12912.2
184,491.0625,12857.67572,12912.663
185,491.08333330000005,12849.89548,12913.094
186,491.1041667,12842.06065,12913.98
187,491.125,12834.52944,12913.524
188,491.14583330000005,12826.90707,12912.887
189,491.1666667,12819.89565,12913.133
190,491.1875,12812.09952,12914.41
191,491.20833330000005,12806.07973,12914.328
192,491.2291667,12799.87269,12915.079
193,491.25,12793.74312,12916.259
194,491.27083330000005,12787.84225,12918.014
195,491.2916667,12782.00064,12919.498
196,491.3125,12775.59823,12919.503
197,491.33333330000005,12770.05437,12916.54
198,491.3541667,12764.85666,12908.544
199,491.375,12759.93755,12891.658
200,491.39583330000005,12755.26963,12869.609
201,491.4166667,12751.48356,12850.191
202,491.4375,12747.56895,12838.448
203,491.45833330000005,12744.45554,12833.564
204,491.4791667,12741.23469,12834.078
205,491.5,12738.68622,12837.276
206,491.52083330000005,12736.07157,12842.123
207,491.5416667,12734.72811,12847.063
208,491.5625,12734.19608,12852.382
209,491.58333330000005,12732.49785,12857.234
210,491.6041667,12732.47254,12860.136
211,491.625,12733.43995,12863.599
212,491.64583330000005,12734.72455,12867.669
213,491.6666667,12735.6252,12872.18
214,491.6875,12736.97096,12875.82
215,491.70833330000005,12739.46777,12878.171
216,491.7291667,12742.9329,12879.028
217,491.75,12745.96268,12878.09
218,491.77083330000005,12749.08732,12878.01
219,491.7916667,12754.41852,12883.682
220,491.8125,12759.62186,12894.746
221,491.83333330000005,12764.84237,12905.146
222,491.8541667,12771.77058,12914.525
223,491.875,12779.10811,12925.721
224,491.89583330000005,12786.51881,12937.538
225,491.9166667,12794.22802,12948.751
226,491.9375,12802.66671,12960.291
227,491.95833330000005,12810.76301,12973.651
228,491.9791667,12820.27196,12987.688
229,492.0,12829.40235,13002.905
230,492.02083330000005,12841.52511,13017.449
231,492.0416667,12852.6394,13033.835
232,492.0625,12862.4025,13049.242
233,492.08333330000005,12875.18501,13063.547
234,492.1041667,12886.05421,13079.818
