,Time (d),NH4_meas_Pearson_NPC (gN/m3),NH4_pred_Pearson_NPC (gN/m3)
0,487.25,0.682954153,0.6217798
1,487.28125,0.667831574,0.61357737
2,487.3125,0.650344402,0.60565007
3,487.34375,0.631201886,0.59971213
4,487.375,0.611490514,0.59726363
5,487.40625,0.5920378239999999,0.5959384
6,487.4375,0.573789981,0.5922333
7,487.46875,0.557641095,0.5878764
8,487.5,0.544314772,0.5860103
9,487.53125,0.534929302,0.5860099
10,487.5625,0.5306404029999999,0.586925
11,487.59375,0.532218299,0.58987266
12,487.625,0.539581552,0.59468955
13,487.65625,0.551551103,0.6015452
14,487.6875,0.566136214,0.61066014
15,487.71875,0.581234436,0.6208385
16,487.75,0.595408856,0.6316024
17,487.78125,0.608136847,0.64328396
18,487.8125,0.619317228,0.6572209
19,487.84375,0.628807171,0.6723089
20,487.875,0.636669721,0.68526715
21,487.90625,0.643926714,0.6979129
22,487.9375,0.652216418,0.71128744
23,487.96875,0.662833471,0.72070414
24,488.0,0.676458173,0.72660565
25,488.03125,0.693950958,0.72968054
26,488.0625,0.716154792,0.7315961
27,488.09375,0.7425620880000001,0.733666
28,488.125,0.7705588659999999,0.73626655
29,488.15625,0.796122887,0.7377255
30,488.1875,0.8172032349999999,0.7373744
31,488.21875,0.8348098579999998,0.7353147
32,488.25,0.850572515,0.7280327
33,488.28125,0.863898864,0.72071946
34,488.3125,0.872092986,0.7140607
35,488.34375,0.872508548,0.7122918
36,488.375,0.864004632,0.72764516
37,488.40625,0.8471321709999999,0.73757774
38,488.4375,0.8244086770000001,0.7384002
39,488.46875,0.800680084,0.7353302
40,488.5,0.78263613,0.7308263
41,488.53125,0.77712613,0.72801536
42,488.5625,0.7881484879999998,0.72812754
43,488.59375,0.814130738,0.73073596
44,488.625,0.849506975,0.7351571
45,488.65625,0.888998515,0.76180005
46,488.6875,0.9290347159999999,0.7938043
47,488.71875,0.9658449369999998,0.8249282
48,488.75,0.99463871,0.85612273
49,488.78125,1.010452775,0.8870452
50,488.8125,1.011325667,0.9214576
51,488.84375,1.00132532,0.9619496
52,488.875,0.9913024029999999,0.98478454
53,488.90625,0.994504518,1.0032921
54,488.9375,1.019055517,1.0334729
55,488.96875,1.059853373,1.0569179
56,489.0,1.105532985,1.0802118
57,489.03125,1.145684699,1.1042964
58,489.0625,1.169276102,1.1261169
59,489.09375,1.169888362,1.127573
60,489.125,1.150828122,1.1121444
61,489.15625,1.119287237,1.0859549
62,489.1875,1.078646023,1.0519722
63,489.21875,1.029074655,1.0062699
64,489.25,0.971957194,0.9544521
65,489.28125,0.910299648,0.8984701
66,489.3125,0.8462832700000001,0.84115195
67,489.34375,0.782208859,0.79069024
68,489.375,0.7212157400000001,0.7386127
69,489.40625,0.665070526,0.6903407
70,489.4375,0.6169946,0.66503865
71,489.46875,0.579042786,0.65261734
72,489.5,0.552983277,0.6415422
73,489.53125,0.54055197,0.63353175
74,489.5625,0.5401113329999999,0.6279397
75,489.59375,0.547517639,0.6251139
76,489.625,0.558050309,0.6239979
77,489.65625,0.568185721,0.62433565
78,489.6875,0.57601745,0.6255961
79,489.71875,0.5805458170000001,0.62738264
