,Time (d),PO44_meas_PCA (gP/m3),NH4_pred_PCA (gP/m3)
0,487.2291667,0.025526608,0.45259354
1,487.25,0.026087857999999995,0.45492747
2,487.27083330000005,0.026754134,0.45691156
3,487.2916667,0.027532745,0.45868027
4,487.3125,0.028425081,0.46063268
5,487.33333330000005,0.029434814,0.46338516
6,487.3541667,0.030546183,0.46918413
7,487.375,0.031743597,0.48056245
8,487.39583330000005,0.03302118,0.49828193
9,487.4166667,0.03436753,0.521343
10,487.4375,0.035765385,0.54492205
11,487.45833330000005,0.037205302,0.5638072
12,487.4791667,0.038700892,0.5752555
13,487.5,0.040290973,0.5788192
14,487.52083330000005,0.04205498,0.5772027
15,487.5416667,0.044150604,0.57379556
16,487.5625,0.046864328,0.5705411
17,487.58333330000005,0.050638502,0.568162
18,487.6041667,0.056043412,0.5671253
19,487.625,0.063690753,0.56796604
20,487.64583330000005,0.07411869900000001,0.57105905
21,487.6666667,0.08767372699999998,0.57669556
22,487.6875,0.104424171,0.58566964
23,487.70833330000005,0.124195134,0.5988776
24,487.7291667,0.146646497,0.6173432
25,487.75,0.171413388,0.64175904
26,487.77083330000005,0.19821588,0.6706271
27,487.7916667,0.22673814499999997,0.7014232
28,487.8125,0.256548639,0.73222965
29,487.83333330000005,0.287029358,0.7621787
30,487.8541667,0.31735102800000003,0.79222083
31,487.875,0.347053315,0.82326376
32,487.89583330000005,0.376124261,0.8534111
33,487.9166667,0.404300872,0.88004005
34,487.9375,0.430968697,0.9036043
35,487.95833330000005,0.455650196,0.92556703
36,487.9791667,0.478150761,0.9462982
37,488.0,0.49854653,0.96531445
38,488.02083330000005,0.517082087,0.98221296
39,488.0416667,0.534111559,0.9968934
40,488.0625,0.550067199,1.009151
41,488.08333330000005,0.565436608,1.0189439
42,488.1041667,0.580779229,1.0264827
43,488.125,0.596586004,1.0324727
44,488.14583330000005,0.613189316,1.0391772
45,488.1666667,0.630852881,1.0483183
46,488.1875,0.649756123,1.0598488
47,488.20833330000005,0.669927304,1.073032
48,488.2291667,0.691245094,1.0872513
49,488.25,0.713511942,1.1021831
50,488.27083330000005,0.736545736,1.1176608
51,488.2916667,0.7602579989999999,1.133633
52,488.3125,0.784659399,1.150499
53,488.33333330000005,0.809861556,1.1689261
54,488.3541667,0.8360699079999999,1.1907742
55,488.375,0.863422582,1.2179439
56,488.39583330000005,0.8920356640000001,1.2508823
57,488.4166667,0.9216916560000001,1.2890927
58,488.4375,0.9517824500000001,1.3282973
59,488.45833330000005,0.981490635,1.3636717
60,488.4791667,1.00977351,1.3929846
61,488.5,1.035434701,1.4156709
62,488.52083330000005,1.0570867590000002,1.4320419
63,488.5416667,1.073123374,1.4422847
64,488.5625,1.082033215,1.4462036
