,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
0,487.2291667,17488.16077,17545.377
1,487.25,17426.701390000002,17484.072
2,487.27083330000005,17360.8658,17425.943
3,487.2916667,17299.81914,17363.139
4,487.3125,17238.66224,17303.717
5,487.33333330000005,17174.06128,17241.564
6,487.3541667,17112.439,17169.781
7,487.375,17049.7626,17092.598
8,487.39583330000005,16988.089340000002,17012.092
9,487.4166667,16927.19653,16936.748
10,487.4375,16867.755080000006,16868.184
11,487.45833330000005,16810.85202,16806.096
12,487.4791667,16750.9127,16749.5
13,487.5,16691.05645,16691.215
14,487.52083330000005,16634.14573,16633.031
15,487.5416667,16576.75565,16577.16
16,487.5625,16520.86306,16520.312
17,487.58333330000005,16464.83608,16464.797
18,487.6041667,16409.889069999994,16409.227
19,487.625,16353.7731,16354.872
20,487.64583330000005,16301.604480000004,16299.552
21,487.6666667,16246.74017,16248.387
22,487.6875,16194.193339999998,16194.282
23,487.70833330000005,16143.70955,16141.531
24,487.7291667,16092.240799999998,16089.351
25,487.75,16041.303499999998,16034.596
26,487.77083330000005,15992.342050000001,15980.135
27,487.7916667,15945.01712,15929.036
28,487.8125,15897.288369999998,15881.421
29,487.83333330000005,15851.16391,15834.884
30,487.8541667,15806.38569,15790.3955
31,487.875,15761.620330000002,15746.787
32,487.89583330000005,15718.18556,15703.155
33,487.9166667,15675.58003,15661.859
34,487.9375,15634.541319999998,15622.368
35,487.95833330000005,15593.82645,15584.634
36,487.9791667,15555.00955,15546.919
37,488.0,15515.66479,15510.696
38,488.02083330000005,15477.8431,15473.896
39,488.0416667,15440.737619999998,15438.875
40,488.0625,15404.70171,15405.031
41,488.08333330000005,15369.33265,15372.804
42,488.1041667,15335.2663,15341.939
43,488.125,15301.83699,15313.132
44,488.14583330000005,15269.06763,15285.109
45,488.1666667,15236.87729,15257.14
46,488.1875,15205.23556,15229.071
47,488.20833330000005,15174.07363,15201.202
48,488.2291667,15144.13922,15173.702
49,488.25,15114.492,15147.326
50,488.27083330000005,15084.46609,15121.159
51,488.2916667,15055.39256,15094.519
52,488.3125,15027.05821,15068.187
53,488.33333330000005,14998.57599,15041.223
54,488.3541667,14970.93134,15010.451
55,488.375,14943.618369999998,14975.555
56,488.39583330000005,14916.68135,14940.111
57,488.4166667,14890.56226,14908.076
58,488.4375,14864.74523,14880.654
59,488.45833330000005,14839.43514,14856.476
60,488.4791667,14814.78819,14834.039
61,488.5,14790.399619999998,14812.209
62,488.52083330000005,14766.63121,14790.439
63,488.5416667,14743.429369999998,14769.463
64,488.5625,14720.57625,14749.493
65,488.58333330000005,14698.04751,14730.328
66,488.6041667,14675.90573,14711.576
67,488.625,14654.0252,14692.9375
68,488.64583330000005,14632.58464,14674.243
69,488.6666667,14611.542980000002,14655.722
70,488.6875,14590.73173,14636.992
71,488.70833330000005,14570.45798,14617.474
72,488.7291667,14550.649480000002,14597.07
