,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
0,487.25,17426.701390000002,15430.432
1,487.28125,17329.20871,15444.48
2,487.3125,17238.66224,15458.301
3,487.34375,17143.45267,15444.857
4,487.375,17049.7626,15319.848
5,487.40625,16959.04902,15087.944
6,487.4375,16867.755080000006,14918.522
7,487.46875,16778.94428,14846.053
8,487.5,16691.05645,14831.315
9,487.53125,16605.103740000002,14832.067
10,487.5625,16520.86306,14820.33
11,487.59375,16436.10865,14801.602
12,487.625,16353.7731,14786.467
13,487.65625,16274.269699999999,14777.417
14,487.6875,16194.193340000002,14773.306
15,487.71875,16117.830539999999,14759.19
16,487.75,16041.303499999998,14721.419
17,487.78125,15968.54448,14670.184
18,487.8125,15897.288369999998,14639.256
19,487.84375,15828.47463,14630.756
20,487.875,15761.620330000002,14626.628
21,487.90625,15697.12501,14620.2
22,487.9375,15634.541319999998,14627.1
23,487.96875,15574.12466,14641.582
24,488.0,15515.66479,14654.31
25,488.03125,15458.96773,14664.892
26,488.0625,15404.70171,14677.152
27,488.09375,15352.09316,14698.726
28,488.125,15301.83699,14734.98
29,488.15625,15252.93993,14779.216
30,488.1875,15205.23556,14810.507
31,488.21875,15158.87203,14834.635
32,488.25,15114.492,14860.121
33,488.28125,15070.23952,14886.509
34,488.3125,15027.05821,14910.753
35,488.34375,14984.71683,14919.726
36,488.375,14943.618369999998,14885.694
37,488.40625,14903.58379,14814.666
38,488.4375,14864.74523,14769.777
39,488.46875,14826.99678,14766.741
40,488.5,14790.399619999998,14783.006
41,488.53125,14754.92703,14797.911
42,488.5625,14720.57625,14817.788
43,488.59375,14687.00554,14844.02
44,488.625,14654.0252,14868.889
45,488.65625,14621.96511,14887.42
46,488.6875,14590.73173,14900.262
47,488.71875,14560.41136,14902.686
48,488.75,14531.28085,14893.239
49,488.78125,14503.25796,14881.03
50,488.8125,14476.66117,14886.655
51,488.84375,14451.07631,14920.329
52,488.875,14426.04034,14951.522
53,488.90625,14402.03059,14972.778
54,488.9375,14378.99101,15010.251
55,488.96875,14356.197369999998,15044.193
56,489.0,14335.43452,15079.66
57,489.03125,14314.87946,15139.224
58,489.0625,14295.14513,15230.693
59,489.09375,14275.77215,15315.802
60,489.125,14256.52654,15388.516
61,489.15625,14237.65443,15467.637
62,489.1875,14218.618019999998,15562.049
63,489.21875,14199.49134,15650.483
64,489.25,14180.04822,15728.404
65,489.28125,14160.07442,15798.235
66,489.3125,14139.94296,15858.537
67,489.34375,14118.90397,15897.509
68,489.375,14097.26552,15817.104
69,489.40625,14075.66604,15665.193
70,489.4375,14054.04925,15626.467
71,489.46875,14032.18482,15659.128
72,489.5,14010.28768,15708.397
73,489.53125,13988.22942,15755.014
74,489.5625,13966.03862,15803.008
75,489.59375,13943.78763,15864.973
76,489.625,13921.31353,15926.013
77,489.65625,13898.77446,15968.765
78,489.6875,13876.03676,16000.825
79,489.71875,13853.39596,16004.762
80,489.75,13830.43423,15953.261
81,489.78125,13808.027230000003,15890.599
82,489.8125,13785.89549,15896.785
83,489.84375,13763.67621,15888.901
84,489.875,13741.31238,15836.311
85,489.90625,13719.01456,15794.459
86,489.9375,13696.92346,15790.298
87,489.96875,13674.550630000002,15799.179
88,490.0,13652.022619999998,15794.241
89,490.03125,13629.16522,15778.694
90,490.0625,13606.29081,15780.514
91,490.09375,13583.23571,15810.4795
92,490.125,13559.7445,15841.126
93,490.15625,13535.33729,15851.966
94,490.1875,13510.82457,15855.451
95,490.21875,13485.29864,15857.14
96,490.25,13458.75364,15849.136
97,490.28125,13432.02939,15830.004
98,490.3125,13405.13079,15826.607
99,490.34375,13377.76954,15824.826
100,490.375,13349.98796,15705.192
101,490.40625,13321.92731,15446.427
102,490.4375,13294.03545,15251.045
103,490.46875,13266.35262,15156.443
104,490.5,13239.10177,15102.464
105,490.53125,13212.20224,15047.715
106,490.5625,13185.79838,14994.494
