,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
0,487.2291667,17488.16077,17361.61
1,487.25,17426.701390000002,17301.172
2,487.27083330000005,17360.8658,17244.111
3,487.2916667,17299.81914,17183.256
4,487.3125,17238.66224,17127.184
5,487.33333330000005,17174.06128,17071.82
6,487.3541667,17112.439,17014.75
7,487.375,17049.7626,16961.771
8,487.39583330000005,16988.089340000002,16907.088
9,487.4166667,16927.19653,16851.25
10,487.4375,16867.755080000006,16794.389
11,487.45833330000005,16810.85202,16737.941
12,487.4791667,16750.9127,16683.729
13,487.5,16691.05645,16627.043
14,487.52083330000005,16634.14573,16570.791
15,487.5416667,16576.75565,16517.295
16,487.5625,16520.86306,16463.121
17,487.58333330000005,16464.83608,16410.197
18,487.6041667,16409.889069999994,16357.01
19,487.625,16353.7731,16304.687
20,487.64583330000005,16301.604480000004,16251.097
21,487.6666667,16246.74017,16201.131
22,487.6875,16194.193339999998,16148.433
23,487.70833330000005,16143.70955,16097.642
24,487.7291667,16092.240799999998,16048.407
25,487.75,16041.303499999998,15997.787
26,487.77083330000005,15992.342050000001,15947.457
27,487.7916667,15945.01712,15899.273
28,487.8125,15897.288369999998,15853.25
29,487.83333330000005,15851.16391,15807.454
30,487.8541667,15806.38569,15763.244
31,487.875,15761.620330000002,15719.776
32,487.89583330000005,15718.18556,15676.275
33,487.9166667,15675.58003,15634.967
34,487.9375,15634.541319999998,15595.353
35,487.95833330000005,15593.82645,15557.411
36,487.9791667,15555.00955,15519.739
37,488.0,15515.66479,15483.962
38,488.02083330000005,15477.8431,15447.911
39,488.0416667,15440.737619999998,15413.478
40,488.0625,15404.70171,15379.935
41,488.08333330000005,15369.33265,15347.692
42,488.1041667,15335.2663,15316.458
43,488.125,15301.83699,15286.812
44,488.14583330000005,15269.06763,15257.721
45,488.1666667,15236.87729,15228.756
46,488.1875,15205.23556,15199.852
47,488.20833330000005,15174.07363,15171.233
48,488.2291667,15144.13922,15143.017
49,488.25,15114.492,15115.959
50,488.27083330000005,15084.46609,15089.213
51,488.2916667,15055.39256,15062.17
52,488.3125,15027.05821,15036.056
53,488.33333330000005,14998.57599,15010.684
54,488.3541667,14970.93134,14985.246
55,488.375,14943.618369999998,14960.267
56,488.39583330000005,14916.68135,14934.801
57,488.4166667,14890.56226,14909.295
58,488.4375,14864.74523,14884.778
59,488.45833330000005,14839.43514,14860.979
60,488.4791667,14814.78819,14837.919
61,488.5,14790.399619999998,14815.611
62,488.52083330000005,14766.63121,14793.751
63,488.5416667,14743.429369999998,14772.814
64,488.5625,14720.57625,14752.843
65,488.58333330000005,14698.04751,14733.636
66,488.6041667,14675.90573,14715.006
67,488.625,14654.0252,14696.831
68,488.64583330000005,14632.58464,14678.894
69,488.6666667,14611.542980000002,14661.305
70,488.6875,14590.73173,14643.898
71,488.70833330000005,14570.45798,14626.367
72,488.7291667,14550.649480000002,14608.79
73,488.75,14531.28085,14590.933
74,488.77083330000005,14512.61653,14573.203
75,488.7916667,14494.37816,14556.456
76,488.8125,14476.66117,14540.498
77,488.83333330000005,14459.745,14525.121
78,488.8541667,14442.6374,14510.121
79,488.875,14426.04034,14494.446
80,488.89583330000005,14409.73325,14479.154
81,488.9166667,14394.37877,14464.512
82,488.9375,14378.99101,14451.135
83,488.95833330000005,14363.89466,14437.983
84,488.9791667,14349.27614,14425.251
85,489.0,14335.43452,14413.052
86,489.02083330000005,14321.15464,14401.712
87,489.0416667,14308.54567,14390.163
88,489.0625,14295.14513,14380.094
89,489.08333330000005,14282.16412,14369.133
90,489.1041667,14269.1403,14358.219
91,489.125,14256.52654,14346.908
92,489.14583330000005,14243.93061,14335.702
93,489.1666667,14231.17903,14324.36
94,489.1875,14218.618019999998,14312.734
95,489.20833330000005,14205.95088,14301.12
96,489.2291667,14193.05054,14289.272
97,489.25,14180.04822,14277.119
98,489.27083330000005,14166.84534,14264.873
99,489.2916667,14153.328480000002,14252.533
100,489.3125,14139.94296,14239.88
101,489.33333330000005,14125.98784,14226.985
102,489.3541667,14111.78703,14212.048
103,489.375,14097.26552,14193.881
104,489.39583330000005,14083.07173,14172.901
105,489.4166667,14068.47003,14151.815
106,489.4375,14054.04925,14132.26
107,489.45833330000005,14039.5244,14115.867
108,489.4791667,14024.91102,14101.598
109,489.5,14010.28768,14088.169
110,489.52083330000005,13995.599069999998,14074.973
111,489.5416667,13980.83631,14061.887
112,489.5625,13966.03862,14048.966
113,489.58333330000005,13951.21957,14036.244
114,489.6041667,13936.28911,14023.85
115,489.625,13921.31353,14011.89
116,489.64583330000005,13906.296230000002,14000.242
117,489.6666667,13891.22036,13988.492
118,489.6875,13876.03676,13976.122
119,489.70833330000005,13860.92695,13962.676
120,489.7291667,13845.648480000002,13947.633
121,489.75,13830.43423,13930.127
122,489.77083330000005,13815.500569999998,13911.444
123,489.7916667,13800.6903,13893.814
124,489.8125,13785.89549,13878.433
125,489.83333330000005,13771.07879,13865.591
126,489.8541667,13756.20797,13853.872
127,489.875,13741.31238,13841.4795
128,489.89583330000005,13726.42623,13827.928
129,489.9166667,13711.65259,13813.632
130,489.9375,13696.92346,13799.437
131,489.95833330000005,13682.0395,13785.928
132,489.9791667,13667.07807,13773.069
133,490.0,13652.022619999998,13760.759
134,490.02083330000005,13636.84672,13748.72
135,490.0416667,13621.71748,13736.702
136,490.0625,13606.29081,13724.904
137,490.08333330000005,13590.90224,13713.2705
138,490.1041667,13575.438069999998,13702.132
139,490.125,13559.7445,13691.303
140,490.14583330000005,13543.60515,13680.337
141,490.1666667,13526.967669999998,13668.713
142,490.1875,13510.82457,13656.293
143,490.20833330000005,13493.93094,13643.99
144,490.2291667,13476.76228,13631.113
145,490.25,13458.75364,13618.382
146,490.27083330000005,13441.009069999998,13605.2
147,490.2916667,13423.13214,13591.967
148,490.3125,13405.13079,13577.672
149,490.33333330000005,13386.88266,13561.536
150,490.3541667,13368.47168,13541.578
151,490.375,13349.98796,13515.581
152,490.39583330000005,13331.30177,13485.058
153,490.4166667,13312.47005,13454.296
154,490.4375,13294.03545,13427.647
155,490.45833330000005,13275.55189,13407.72
156,490.4791667,13257.32845,13392.751
157,490.5,13239.10177,13380.151
158,490.52083330000005,13221.18312,13367.747
159,490.5416667,13203.4114,13355.117
160,490.5625,13185.79838,13342.227
161,490.58333330000005,13168.29149,13329.3955
162,490.6041667,13151.00822,13317.026
163,490.625,13133.9665,13305.55
164,490.64583330000005,13117.11628,13294.586
165,490.6666667,13100.48268,13283.419
166,490.6875,13083.93924,13272.03
167,490.70833330000005,13067.66164,13260.657
168,490.7291667,13051.77381,13248.429
169,490.75,13036.0042,13233.845
170,490.77083330000005,13020.60437,13217.926
171,490.7916667,13005.78049,13203.9795
172,490.8125,12991.77968,13193.316
173,490.83333330000005,12978.3898,13185.033
174,490.8541667,12965.33891,13177.795
175,490.875,12952.49556,13171.201
176,490.89583330000005,12940.19432,13165.229
177,490.9166667,12927.62635,13160.012
178,490.9375,12916.19289,13154.606
179,490.95833330000005,12905.31307,13149.691
180,490.9791667,12895.41384,13144.881
181,491.0,12885.12792,13140.759
182,491.02083330000005,12875.84549,13136.651
183,491.0416667,12866.90652,13133.844
184,491.0625,12857.67572,13131.612
185,491.08333330000005,12849.89548,13129.02
186,491.1041667,12842.06065,13126.829
187,491.125,12834.52944,13123.652
188,491.14583330000005,12826.90707,13120.355
189,491.1666667,12819.89565,13117.552
190,491.1875,12812.09952,13115.657
191,491.20833330000005,12806.07973,13113.004
192,491.2291667,12799.87269,13111.281
193,491.25,12793.74312,13109.253
194,491.27083330000005,12787.84225,13107.156
195,491.2916667,12782.00064,13105.025
196,491.3125,12775.59823,13102.378
197,491.33333330000005,12770.05437,13098.12
198,491.3541667,12764.85666,13091.052
199,491.375,12759.93755,13078.083
200,491.39583330000005,12755.26963,13060.997
201,491.4166667,12751.48356,13044.788
202,491.4375,12747.56895,13033.511
203,491.45833330000005,12744.45554,13027.201
204,491.4791667,12741.23469,13025.173
205,491.5,12738.68622,13024.989
206,491.52083330000005,12736.07157,13025.86
207,491.5416667,12734.72811,13026.611
208,491.5625,12734.19608,13027.946
209,491.58333330000005,12732.49785,13029.461
210,491.6041667,12732.47254,13029.811
211,491.625,12733.43995,13031.195
212,491.64583330000005,12734.72455,13033.527
213,491.6666667,12735.6252,13036.763
214,491.6875,12736.97096,13039.818
215,491.70833330000005,12739.46777,13042.092
216,491.7291667,12742.9329,13043.497
217,491.75,12745.96268,13044.22
218,491.77083330000005,12749.08732,13045.356
219,491.7916667,12754.41852,13049.469
220,491.8125,12759.62186,13057.314
221,491.83333330000005,12764.84237,13065.47
222,491.8541667,12771.77058,13073.772
223,491.875,12779.10811,13083.896
224,491.89583330000005,12786.51881,13094.549
225,491.9166667,12794.22802,13104.897
226,491.9375,12802.66671,13115.512
227,491.95833330000005,12810.76301,13127.419
228,491.9791667,12820.27196,13139.242
229,492.0,12829.40235,13150.953
230,492.02083330000005,12841.52511,13160.794
231,492.0416667,12852.6394,13171.634
232,492.0625,12862.4025,13181.298
233,492.08333330000005,12875.18501,13190.052
234,492.1041667,12886.05421,13201.284
235,492.125,12897.51194,13211.407
236,492.14583330000005,12910.1491,13221.999
237,492.1666667,12922.3695,13233.091
238,492.1875,12934.22742,13243.611
239,492.20833330000005,12946.23346,13253.98
240,492.2291667,12958.70343,13264.443
241,492.25,12969.91959,13274.847
242,492.27083330000005,12984.10587,13283.87
243,492.2916667,12994.87812,13294.851
244,492.3125,13008.20953,13302.969
245,492.33333330000005,13019.34253,13312.294
246,492.3541667,13032.97547,13317.754
247,492.375,13045.29493,13321.648
248,492.39583330000005,13058.12126,13322.826
249,492.4166667,13071.22906,13325.273
250,492.4375,13083.33221,13330.985
251,492.45833330000005,13096.64915,13339.633
252,492.4791667,13109.42005,13351.076
253,492.5,13122.76607,13362.09
254,492.52083330000005,13136.1013,13373.106
255,492.5416667,13150.48351,13384.007
256,492.5625,13165.34122,13395.975
257,492.58333330000005,13179.493,13408.729
258,492.6041667,13193.42719,13421.352
259,492.625,13207.41639,13434.177
260,492.64583330000005,13220.74082,13447.313
261,492.6666667,13236.69584,13460.09
262,492.6875,13251.30871,13474.862
263,492.70833330000005,13265.37058,13488.281
264,492.7291667,13280.87783,13500.413
265,492.75,13294.98234,13512.531
266,492.77083330000005,13310.6638,13523.17
267,492.7916667,13327.04193,13535.457
268,492.8125,13344.09921,13549.014
269,492.83333330000005,13359.9753,13563.86
270,492.8541667,13376.86965,13578.136
271,492.875,13393.68062,13593.208
272,492.89583330000005,13410.30554,13608.111
273,492.9166667,13428.755330000002,13622.9375
274,492.9375,13445.42088,13639.429
275,492.95833330000005,13465.04151,13654.642
276,492.9791667,13483.38838,13672.342
277,493.0,13501.66557,13689.1
278,493.02083330000005,13522.37117,13705.9795
279,493.0416667,13541.25916,13725.077
280,493.0625,13558.67314,13742.834
281,493.08333330000005,13578.323019999998,13759.431
282,493.1041667,13597.8379,13777.937
283,493.125,13617.20979,13796.389
284,493.14583330000005,13636.4947,13814.67
285,493.1666667,13655.68295,13832.725
286,493.1875,13674.72241,13850.487
287,493.20833330000005,13694.908919999998,13867.88
288,493.2291667,13712.76226,13885.969
289,493.25,13730.37398,13901.799
290,493.27083330000005,13747.99732,13917.131
291,493.2916667,13765.27288,13932.2
292,493.3125,13781.90881,13946.633
293,493.33333330000005,13798.91776,13960.038
294,493.3541667,13815.066380000002,13972.694
295,493.375,13831.215369999998,13982.851
296,493.39583330000005,13847.05746,13991.623
297,493.4166667,13863.16867,13999.929
298,493.4375,13879.84734,14009.402
299,493.45833330000005,13897.567030000002,14020.734
300,493.4791667,13915.01719,14034.089
301,493.5,13933.40519,14048.1455
302,493.52083330000005,13954.30601,14063.778
303,493.5416667,13975.06088,14082.379
304,493.5625,13998.37592,14101.836
305,493.58333330000005,14021.40073,14124.5625
306,493.6041667,14044.59789,14147.798
307,493.625,14068.57219,14171.571
308,493.64583330000005,14094.92154,14196.069
309,493.6666667,14124.73844,14222.504
310,493.6875,14153.616730000002,14251.682
311,493.70833330000005,14184.01425,14279.586
312,493.7291667,14216.84067,14308.188
313,493.75,14251.36638,14338.212
